,i,j,origin_x,origin_y,dest_x,dest_y
2655,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2656,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2657,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2658,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2659,22,33,-46.436299999999996,-23.496400000000005,-46.4363,-23.511399999999995
2660,23,33,-46.4363,-23.511399999999995,-46.436299999999996,-23.496400000000005
2661,22,33,-46.4513,-23.496400000000005,-46.436299999999996,-23.496400000000005
2662,23,33,-46.436299999999996,-23.496400000000005,-46.421299999999995,-23.496400000000005
2663,23,33,-46.40630000000001,-23.4814,-46.40630000000001,-23.496400000000005
2664,24,34,-46.40630000000001,-23.4814,-46.421299999999995,-23.496400000000005
2665,24,35,-46.421299999999995,-23.496400000000005,-46.40630000000001,-23.4814
2666,23,34,-46.40630000000001,-23.4814,-46.421299999999995,-23.496400000000005
2667,24,35,-46.421299999999995,-23.496400000000005,-46.40630000000001,-23.4814
2668,23,34,-46.40630000000001,-23.4814,-46.421299999999995,-23.496400000000005
2669,24,35,-46.421299999999995,-23.496400000000005,-46.40630000000001,-23.4814
2670,23,34,-46.40630000000001,-23.4814,-46.421299999999995,-23.496400000000005
2671,24,35,-46.421299999999995,-23.496400000000005,-46.40630000000001,-23.4814
2672,23,34,-46.40630000000001,-23.4814,-46.4213,-23.4814
2673,24,35,-46.4213,-23.4814,-46.40630000000001,-23.4814
2674,24,34,-46.40630000000001,-23.4814,-46.4213,-23.4814
2675,24,35,-46.4213,-23.4814,-46.40630000000001,-23.4814
2676,24,34,-46.40630000000001,-23.4814,-46.4213,-23.4814
2677,24,35,-46.4213,-23.4814,-46.40630000000001,-23.4814
2678,24,34,-46.4213,-23.4814,-46.4213,-23.4814
2679,24,35,-46.4213,-23.4814,-46.4213,-23.4814
2680,24,34,-46.4213,-23.4814,-46.4213,-23.4814
2681,24,34,-46.4213,-23.4814,-46.4213,-23.4814
2682,24,34,-46.4213,-23.4814,-46.4213,-23.4814
2683,24,34,-46.40630000000001,-23.496400000000005,-46.4213,-23.4814
2684,23,34,-46.40630000000001,-23.496400000000005,-46.4213,-23.4814
2685,23,34,-46.4213,-23.4814,-46.40630000000001,-23.496400000000005
2686,24,34,-46.4513,-23.496400000000005,-46.4363,-23.4814
2687,23,35,-46.40630000000001,-23.496400000000005,-46.4213,-23.4814
